id,sh,rb,hb
39,888.512123259902,173.61134700253606,393.5549398705363
40,888.4244015544652,176.38021855205298,391.02841212302445
41,888.4077711552382,183.72608264675364,375.06834311038256
42,888.3612353056669,175.12065704423003,396.64473520964384
43,887.4838205903768,177.06316260769964,384.3465902402997
44,887.2599778026342,177.80433760397136,387.3075633123517
45,886.7407658189535,184.60160149533766,381.7502140834928
46,886.3606567233801,175.52403683657758,392.1787953004241
47,886.0169334799051,155.1877645255532,407.54906684607266
48,885.9679755061865,184.5725821195403,381.82058034688237
49,885.8371451586485,185.24646891925948,382.8984298542142
50,885.2946402877569,182.03235935233533,386.69606751948595
51,884.4063524097204,184.81063823569565,383.90415201932194
52,884.0674090117216,177.00363716445864,391.900147382915
53,882.5430096238852,188.47273128665984,363.744360871613
54,882.4620126932859,185.03634709259495,384.18389750272036
55,882.1780269950629,173.5256713273935,400.7768666133285
56,882.1417227238417,185.06533802999184,384.07138312608004
57,881.9161819666624,185.06789314514026,383.9936791136861
58,881.5606794446707,173.68202183982356,401.0828548654914
59,881.1347663849592,174.7995702624321,396.699269734323
60,880.9283352941275,191.09182954579592,360.54534601420164
61,879.9080781787634,177.1588688667398,387.92832358926535
62,878.7789167612791,177.80629140581004,388.99883534759283
63,878.7780075520277,186.1316142361611,372.6312076225877
64,878.6020610183477,182.265354802832,388.8577134087682
65,878.5890035003424,177.38153316569515,390.6108759656548
66,878.012885966897,187.69250812078826,369.8226121559739
67,877.9691602379083,185.3023506521713,372.7635735616088
68,877.7318903654814,178.59314958006144,395.6509225293994
69,877.3078878492117,183.5104257879546,397.8982694655657
70,877.286382958293,191.03485921770334,368.021199144423
71,876.736563679576,183.56041559071747,394.80446999371054
72,876.1696824282408,188.88897584192455,371.93004141002893
73,875.8381885319948,184.7554927315563,391.1494475275278
74,875.5323977857828,187.85509174014442,377.68392317444085
75,875.1519447416067,186.63462034007534,379.50002454966307
76,873.9780117720366,192.21629028208554,369.3139553293586
77,872.4580136030912,171.29137269700877,401.6222955331206
78,872.2884389609098,190.58561763726175,371.45317459851503
79,869.8071551710367,192.5164779543411,369.5490326628089
80,869.7897473067045,196.39875823473557,369.9235009685159
81,868.1470557540655,173.56756731416098,402.00009975284337
82,868.1470557540655,173.56756731416098,402.00009975284337
83,867.6514676302671,185.5028121891897,387.0253419175744
84,867.261727759242,185.46239462648518,387.0908828869462
85,866.2229626506567,192.95649287067354,391.89077909737824
86,865.3372564762831,199.31350659392774,386.3505372032523
87,862.9074098199605,195.70136049352587,389.16547485142945
88,860.8189645797014,199.89627348647917,366.8136859074235
89,860.2096113234759,199.69068786602003,367.015905661881
90,858.4629533559084,195.84950502084104,386.57009042650463
91,858.2837471753359,200.1813068708172,364.379416911304
92,857.6804385453463,200.50063831307926,374.9835739269853
93,857.5201230794191,213.50186212942936,369.71065212693065
94,856.2676495164633,175.54687278005295,399.7874023154378
95,855.4391103059054,205.60382772663144,373.5819391220808
96,855.2135695487261,205.60638284177986,373.5042351096869
97,853.2809701949358,201.01538017080165,376.37473293095826
98,852.6826079159976,197.0226005078992,386.9629080876708
99,852.3670271784067,227.2308461763896,301.481090455316
100,851.8116597384214,224.06514239730313,325.5662051131949
101,851.4886178225279,225.58760258974507,327.6115247597918
102,851.3725988060236,177.25766517375595,400.99085869044063
103,850.7143469721079,197.41346856073943,386.391349850595
104,850.6040689736604,204.97388490722514,375.4428603321314
105,849.6747135013342,200.73584108811338,378.15162081718444
106,849.5101149350405,206.35942653806416,371.23199217617514
107,849.2148710638285,199.6091066537192,379.6380735710263
108,849.2143725305796,204.18997554609086,377.31161810457706
109,849.2123104482889,204.38962416478898,380.1836143285036
110,848.7962449342012,229.98933706665412,321.0216726651415
111,848.5911919027567,200.06150580511894,380.30646649748087
112,848.3733675330877,228.6267190692015,324.6844734242186
113,847.79712061584,231.0749741946347,321.1210620990023
114,847.7318689674139,229.09204391064122,325.371963291429
115,847.2619438916445,229.62591085815802,323.60956865455955
116,847.2127919346094,208.7564805096481,377.1618848890066
117,846.5685166567564,229.70952145615593,325.93041118141264
118,846.3614362627268,228.6393519421108,326.9607620155439
119,845.7715722471476,200.76273421326187,380.8219705596566
120,845.5873490720987,229.7598425098695,327.54037317540497
121,845.5568210333586,234.13714694278315,317.40143047180027
122,845.2322748452425,229.28677448118106,328.03127377387136
123,845.0312991291285,232.88851767824963,325.1899322262034
124,844.5283087342978,232.74923186050728,331.0170550933108
125,844.3334244340658,233.31978569412604,330.2889956375584
126,844.3266848176718,233.68475669855252,329.8725077053532
127,843.339895799756,226.300162790576,361.0666566407308
128,842.1235582083464,233.28579550096765,331.1615955075249
129,842.0835568755865,233.99143445352092,318.95678619947284
130,842.0768172591925,234.3564054579474,318.54029826726764
131,841.7844729870558,236.0157526587136,328.8885519942269
132,840.9943967908621,233.9332180400379,332.2321072658524
133,840.8645151108503,228.96309718419798,334.78465299960226
134,840.6393225640059,233.46015001134947,332.7230078643188
135,839.849709585309,229.87430643872358,359.34074740763754
136,839.3797224611044,236.55231629917398,329.033092408441
137,839.3329815119505,237.62292625615373,316.41179516818374
138,838.2573006600142,236.83476783381775,330.5200920989737
139,838.2505610436201,237.19973883824423,330.1036041667685
140,837.6090624779463,237.66506367968395,330.7910940339789
141,836.6014476567507,236.76609175861813,334.6758825471625
142,836.5829614251852,233.3159366848413,343.24862164165825
143,836.4906924515963,211.18970878631808,378.70472814142704
144,834.6506976932287,237.0083218072541,331.5359406610951
145,834.3561604470015,238.14502423303202,330.95646691229194
146,834.0010862201452,237.6719562043436,331.44736751075834
147,833.9273933917284,239.04563454003073,331.2630884340033
148,832.9308205991983,239.03789135278203,332.4414788996801
149,832.7628990858793,237.56670627044514,334.6949085285887
150,831.9709131270647,242.74793344677892,328.475249200128
151,831.706162378192,235.3334684674628,335.24976363778114
152,831.0194075554609,239.0921990950592,330.26079641189426
153,830.6877928346396,237.9699778084643,334.55016676094385
154,830.2886160761118,235.9511326046195,339.2828946104273
155,829.8086587637663,235.9551498889923,339.09738550987095
156,829.5541832000017,234.0017875356134,340.6180252721533
157,829.3065062612295,233.63827870041132,340.9267081161961
158,829.2997666448355,234.0032497048378,340.5102201839909
159,829.1830335110426,236.39822437800467,338.5767687400803
160,828.1022246629,238.04857768840156,335.48707860615104
161,827.866393044591,242.81426989496686,329.1357157221064
162,827.6613018065691,232.88093867874704,344.1964098280296
163,827.4001456350088,233.24737185239792,343.67211680766195
164,827.0289369374514,233.68898417218588,343.2593051260337
165,824.6903087049723,231.33626317162998,348.4709574421868
166,824.0972296446562,237.8840791725088,337.10710010584444
167,822.0929312855005,233.32867266424,344.38770683761686
168,821.3822808355093,238.04756182655692,337.756035043858
169,821.2001224905252,234.91040681977756,346.7450482090935
170,820.7566555827856,238.49063631556928,337.23541827406734
171,818.2760675400496,238.36111736972816,344.8051976626739
172,816.3486597687006,241.9477372651454,339.5900285532698
173,815.6958166211843,230.0820944979787,348.70137673523277
174,815.3402735561133,240.02878992408515,342.0205964019522
175,814.2375229746103,243.78707935265265,340.6066331556067
176,814.2310076802969,230.35018197260797,350.03829464223236
177,813.9028500169516,143.01149566972163,409.99067824333906
178,812.821499094367,144.1012910505524,412.42726292461157
179,812.5400773137808,232.09642390650697,347.9811420207843
180,812.3397747725248,231.80217504990287,348.1828891104087
181,810.664534136653,231.04177453299053,350.04209030326456
182,807.4028791934252,147.61010533256922,411.32196006923914
183,807.40058799088,147.8319371311227,414.5130669847131
184,807.3833996504545,234.542124529602,351.7574023893103
185,806.7506428331137,243.4948876135517,341.8171681782231
186,805.2996243089437,155.42109548917506,402.62126050144434
187,805.037239715457,232.40146094118245,352.84335023816675
188,804.9503650218248,232.26379631343298,352.8830649321899
189,804.706631347537,232.48553621326573,352.47060743626207
190,804.3803032487631,155.44845113775227,402.63284120708704
191,803.7078534811735,230.42570703779347,353.7692455118522
192,801.9357192367315,156.05524772277568,402.4907363727689
193,801.7646430581808,154.65630426362623,409.7828270792961
194,801.2136294394732,149.53342585882638,414.1427199617028
195,800.7603523880243,149.15435125364456,414.89080794900656
196,800.5286004990339,156.25503111735452,404.70972153544426
197,800.1525981873274,156.2569683539914,404.62849858403206
198,799.2644475817681,127.1181910397252,414.90601961910727
199,798.8698549717665,156.51557608798612,404.24543845653534
200,798.28304874897,124.14060690982733,415.330954182148
201,798.1009419202804,214.6692754520569,362.80967107117175
202,797.6804457902908,122.7008546291152,415.60898302793504
203,797.6314336359501,122.7562040726887,415.7135873913765
204,795.8872581839562,125.16720257566776,414.91461192667487
205,795.3824465721846,150.44822234569583,410.7166452839971
206,795.0836501568556,149.70746178089175,411.2220203712583
207,795.033486649394,150.26281675791833,411.1424150899053
208,794.5369645804167,150.94377865225542,410.49047154039147
209,794.4596536248922,236.37955036167986,349.28881806787103
210,793.6667333394289,158.0535481433617,407.9455711096525
211,793.2845306247473,157.80376939021517,408.1196424514055
212,792.5870606899261,120.35493499024305,417.88001735806466
213,791.7889882922173,137.30326075789054,421.850636947155
214,791.3832819938659,137.3161670517875,421.80905131697654
215,791.1441007941961,239.1244179845322,346.56351382192224
216,790.0883432775736,151.3432559208246,411.29947170466187
217,789.9031375288963,136.0375945086824,422.0094050973654
218,789.8894970297813,136.09831914075184,422.14489289820193
219,789.7393833547831,151.1578503330471,411.7252415105701
220,789.685006415844,140.11931062976365,421.8370224624872
221,788.9884447306395,151.84027439660858,410.96549287289383
222,785.2953121840953,147.70989122011233,414.95843061506747
223,784.8855510830879,141.63006977878976,416.43934380710124
224,784.7373720765114,140.41461499410215,416.91159720420836
225,784.0574335455894,141.9242091705324,416.4288060516119
226,784.0251857608557,158.6068118543597,405.46134769022467
227,783.9756222248077,141.93986402873415,416.3795878559351
228,783.4206207752228,140.51201477090362,416.82077543139457
229,782.9875565946102,148.5356966271298,415.01029970943927
230,782.8141288131476,158.33895485878458,405.80769028365614
231,781.8229590058327,149.69995673105586,411.9806556478143
